zone,node,ts_ms,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,amp_52,amp_53,amp_54,amp_55,amp_56,amp_57,amp_58,amp_59,amp_60,amp_61,amp_62,amp_63
LEFT,right,1778971368189,134.3577,5.0,25.0,23.4307,20.5183,19.2094,18.3576,17.088,16.4924,16.1245,17.0,17.0294,18.1108,17.2627,15.2971,14.3178,11.7047,11.4018,12.0416,13.0384,15.2643,15.8114,17.0294,16.9706,15.6205,13.8924,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8102,5.099,7.2801,12.1655,17.4642,22.2036,25.4558,29.4109,30.4138,30.3645,26.4764,22.0907,17.1172,11.7047,9.2195,11.1803,16.0,20.0998,24.0832,26.0768,27.074,26.1725,25.1794,24.7386,24.6982,24.5967
LEFT,left,1778971368292,134.3577,5.0,15.8114,20.8087,23.3238,27.2947,28.178,29.5466,28.7924,26.2488,25.0,20.8806,18.3848,16.1245,14.2127,13.4536,13.6015,13.4164,13.6015,14.5602,15.2971,16.2788,16.2788,15.2971,14.3178,13.3417,13.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4642,14.0357,10.0499,6.0,2.2361,4.1231,8.0623,12.53,15.6525,19.3132,21.1896,23.7697,24.5153,25.4951,26.4764,25.4951,26.6833,25.7099,26.6833,25.7099,24.5153,22.3607,18.2483,14.3178,9.4868,6.4031
LEFT,left,1778971368506,134.3577,5.0,16.1245,21.0238,25.0799,28.2843,30.5941,31.0483,29.7321,27.313,25.4951,21.0238,17.4642,13.3417,11.0454,9.0554,7.6158,7.8102,8.544,10.0499,13.0,14.0,16.0,16.0312,16.1245,15.1327,13.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6469,13.1529,8.0623,2.2361,3.6056,9.4868,13.6015,18.0278,22.1359,24.6982,26.5707,27.8568,28.4605,28.1603,27.6586,26.1725,26.0192,26.0768,26.1725,25.318,24.3311,22.2036,19.105,15.0,9.2195,4.2426
LEFT,right,1778971368596,134.3577,5.0,25.9422,24.1868,22.2036,20.6155,17.6918,16.6433,16.1555,16.4924,17.0294,17.0,18.0278,16.0312,15.0333,13.0384,11.1803,8.9443,8.4853,10.8167,13.8924,15.2643,17.0294,16.9706,15.6205,13.8924,12.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8995,5.0,6.3246,10.7703,17.2047,22.6274,28.0179,31.7805,32.573,33.3766,30.0666,27.0185,21.0238,16.0312,12.083,11.4018,14.8661,18.2483,22.0907,24.0832,25.02,25.0,25.0799,24.5153,25.2982,26.8328
LEFT,left,1778971368717,134.3577,5.0,14.4222,18.6011,20.0,24.2074,24.8395,25.4951,24.0416,22.6716,20.6155,17.6918,13.4536,11.4018,9.4868,8.0623,8.544,10.8167,12.0416,12.7279,14.8661,16.2788,16.2788,15.6205,14.2127,12.2066,10.6301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2485,16.1245,11.1803,5.831,2.0,6.0828,11.1803,16.2788,20.3961,23.7697,27.2029,29.7321,31.0161,31.3847,30.4631,28.2312,27.5136,25.0,23.7697,22.3607,20.2237,18.2483,14.1421,11.0454,6.0,1.4142
LEFT,right,1778971368803,134.3577,5.0,25.9422,24.1661,23.7697,21.587,19.4165,18.2483,18.0278,16.1245,15.5242,15.2315,16.1245,14.7648,13.0384,13.0384,10.6301,9.434,10.2956,12.3693,15.2971,15.2971,18.0278,17.8885,15.8114,15.6205,13.4536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0623,4.4721,6.4031,12.1655,17.0294,22.8035,26.4008,29.6816,30.4795,30.4795,27.2029,22.4722,18.0278,13.4536,10.7703,12.0416,15.5242,19.6977,21.9317,23.2594,24.1661,22.8254,22.4722,21.2603,22.0227,23.8537
LEFT,left,1778971368925,134.3577,5.0,17.2627,21.587,24.7386,28.8617,29.8329,31.0483,30.0832,26.9258,24.7386,20.3961,16.0312,12.1655,9.2195,8.9443,11.0454,13.1529,15.8114,17.8885,19.7231,21.095,21.095,21.095,18.3576,17.4929,13.8924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0599,20.6155,15.6205,12.083,8.0,7.2111,10.0499,15.2971,19.3132,22.8254,25.5539,28.0179,29.2062,30.0,28.6007,27.4591,25.5539,24.5967,23.7697,22.8035,21.587,18.4391,15.2971,11.1803,5.3852,1.0
LEFT,right,1778971369007,134.3577,5.0,24.1868,23.0217,22.0227,20.0998,19.4165,17.088,14.7648,13.4536,13.6015,14.7648,14.8661,14.5602,14.5602,13.3417,11.1803,9.0,8.544,8.6023,11.3137,12.7279,13.4536,14.4222,13.8924,13.0,12.6491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0454,8.6023,10.0499,15.5242,20.2485,24.7588,29.2062,30.8869,32.311,30.8058,26.3059,21.095,15.1327,9.8489,7.6158,11.1803,17.088,21.0238,25.0799,27.313,27.313,24.5967,22.4722,20.6155,20.0,19.3132
LEFT,left,1778971369133,134.3577,5.0,16.4924,20.6155,23.5372,26.6833,27.4591,28.4429,27.2947,24.1868,21.2132,16.4924,13.4164,11.3137,11.7047,14.0,16.1245,18.2483,20.3961,22.561,23.5372,23.5372,21.3776,19.2354,17.2627,14.1421,10.4403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2132,17.72,13.0,8.6023,3.6056,2.0,7.2111,12.8062,17.6918,21.9317,26.2488,27.2029,29.6816,29.6816,28.6531,28.6531,27.4591,25.807,24.2074,22.6716,20.5183,18.3848,15.5563,10.6301,6.4031,2.2361
LEFT,right,1778971369213,134.3577,5.0,34.3657,32.5576,27.8927,23.7697,18.868,15.6205,12.6491,14.0357,16.5529,18.868,22.0227,22.6716,22.6716,21.2603,17.6918,14.2127,11.6619,10.0499,12.3693,13.6015,15.2315,16.1555,15.2315,14.8661,13.6015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0227,19.6977,20.2237,23.8537,28.4253,34.4384,38.3275,41.3038,42.0,39.2046,34.7131,27.8927,19.4165,12.0,7.0711,9.0554,16.1555,21.4709,26.0768,27.8029,28.3196,28.3196,28.3019,29.1548,30.5941,33.0606
LEFT,left,1778971369350,134.3577,5.0,15.8114,20.2485,22.8254,25.9422,27.7308,28.2312,27.8568,26.2488,24.0416,21.1896,16.5529,13.6015,12.0416,11.1803,11.1803,13.0384,13.1529,15.5242,16.7631,18.0278,18.0278,16.7631,15.5242,13.6015,11.7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8806,16.2788,12.0416,7.0,3.0,2.2361,6.7082,11.1803,14.7648,18.3576,20.8087,23.0217,24.4131,25.807,25.807,25.2389,25.2389,24.6982,24.1868,22.8254,21.9545,19.7231,15.8114,11.4018,6.4031,1.0
LEFT,right,1778971369415,134.3577,5.0,29.0689,26.1725,22.0227,17.4929,13.6015,11.0454,10.8167,12.2066,14.8661,17.4642,19.2354,19.105,19.0263,16.0312,14.0357,10.198,8.9443,8.0623,9.4868,12.1655,13.1529,13.3417,13.3417,12.3693,10.7703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7883,15.6205,15.2971,17.72,21.4009,27.0185,30.8869,34.176,35.171,33.2415,30.0167,25.02,19.105,11.0,4.1231,3.6056,10.8167,15.6525,19.3132,21.1896,22.561,24.1868,25.0799,25.7099,26.9258,30.0167
LEFT,left,1778971369559,134.3577,5.0,15.2315,19.3132,25.2982,27.6586,30.4138,31.1448,31.0161,28.0,26.0,22.0227,19.105,16.7631,15.6525,15.6205,14.8661,16.4012,17.4929,19.2354,18.7883,19.2354,19.2354,17.0,16.1245,13.4164,11.7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9545,17.2047,13.6015,9.434,7.2801,7.6158,9.2195,12.2066,15.2643,17.4929,19.7231,22.3607,23.7065,25.0799,26.0,27.8568,28.4605,29.4109,29.7321,30.6757,29.1548,26.8328,24.1868,18.6011,12.8062,5.6569
LEFT,right,1778971369624,134.3577,5.0,29.8329,26.2488,22.8473,18.868,15.5563,14.3178,14.0357,16.2788,18.3848,20.1246,21.9545,22.4722,21.095,19.4165,16.4012,14.1421,13.0384,12.6491,14.3178,15.1327,15.0333,15.0333,14.1421,13.1529,11.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2315,12.3693,12.8062,17.1172,23.3452,28.2312,33.2866,36.1248,36.8782,36.0555,32.249,27.313,21.9317,14.7648,8.4853,6.0828,11.3137,16.1245,20.1246,22.8473,25.632,26.9258,27.2947,29.0172,30.0666,32.3883
LEFT,left,1778971369767,134.3577,5.0,17.4642,22.2036,25.0799,27.0,28.0179,27.074,25.1794,23.1948,20.2237,16.0312,13.0,10.4403,8.6023,9.434,10.4403,11.0454,14.0,15.0333,16.0312,17.0294,17.0,16.0,14.0357,11.0,9.0554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2132,15.6205,9.2195,4.2426,2.0,7.0711,11.4018,16.2788,19.4165,22.3607,25.4951,27.6586,29.6142,30.8058,30.8058,29.8329,29.4109,27.5136,26.9258,25.0799,22.8473,20.2485,16.7631,11.4018,6.0,3.0
LEFT,right,1778971369832,134.3577,5.0,27.2947,23.7697,21.1896,16.1245,13.1529,11.6619,12.2066,13.9284,17.2627,19.0263,21.0238,21.0238,20.0,18.0,15.0333,12.1655,9.8489,9.2195,10.2956,12.083,13.0,13.9284,13.0,13.4164,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6205,14.1421,15.6525,18.4391,23.7697,27.4591,31.0,33.3766,34.2053,31.9531,28.178,23.3238,17.4929,10.7703,5.099,7.2801,12.0416,16.2788,19.9249,22.4722,24.1661,25.5539,27.2029,27.5862,27.6586,29.4109
LEFT,left,1778971369977,134.3577,5.0,18.6011,23.8537,27.2947,30.4631,31.9531,32.573,30.8058,28.4429,25.318,21.2132,17.2627,13.6015,10.2956,7.8102,6.0828,9.0554,11.1803,13.8924,15.2643,16.6433,17.4929,17.0,15.8114,13.4164,11.7047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2094,13.4536,7.0711,2.0,5.0,10.198,15.2971,19.4165,22.8035,25.7099,26.9258,28.1603,28.4605,29.1548,27.7308,28.3019,27.8029,29.0689,28.3196,27.5862,26.1725,22.6716,20.0,13.8924,8.2462,4.2426
LEFT,right,1778971370041,134.3577,5.0,24.7386,22.0907,19.0263,15.8114,14.2127,14.4222,15.5242,17.0294,19.105,20.3961,21.587,21.8403,19.9249,17.088,13.4164,10.0,8.9443,10.0,12.3693,14.5602,15.8114,16.4924,16.2788,15.1327,14.1421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6525,15.1327,16.4012,20.5913,25.9615,31.0644,35.1283,36.8782,37.9473,35.7771,31.9061,25.807,17.8045,9.434,3.6056,9.0554,15.5242,20.8806,25.2982,28.2312,29.5466,28.6531,28.8444,29.0,28.4253,29.1548
LEFT,left,1778971370206,134.3577,5.0,19.8494,22.6716,26.1725,27.5862,27.8029,26.6271,25.0599,22.3607,18.7883,15.2315,9.434,7.2111,7.0,8.2462,10.4403,12.53,14.3178,15.2315,15.2315,16.1555,15.8114,15.8114,13.3417,10.4403,8.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025,12.1655,4.1231,3.1623,11.1803,16.5529,23.3238,28.3019,31.6228,35.0,35.609,36.8782,36.2353,33.4215,30.6105,27.2029,24.1868,21.5407,20.6155,19.2354,18.0278,15.0,12.0,7.0711,3.6056,5.6569
LEFT,right,1778971370261,134.3577,5.0,23.6008,21.2603,17.8045,14.7648,14.1421,13.1529,14.3178,15.0,16.2788,17.8045,18.0278,18.868,17.4929,16.1245,12.53,9.4868,8.0,8.0623,10.6301,12.0416,13.4536,14.1421,13.4536,12.8062,11.6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1529,13.4536,16.7631,21.0,25.9615,29.9666,33.0151,33.9706,33.4215,31.0644,26.8328,19.6977,13.4164,5.6569,5.6569,12.083,18.0278,21.8403,25.2982,26.9258,28.6356,28.4429,27.0185,26.0768,26.6833,25.632
LEFT,left,1778971370414,134.3577,5.0,19.105,23.3452,24.7386,26.5707,27.313,26.8328,25.0599,21.6333,18.0278,14.4222,10.8167,7.2801,6.0,5.6569,8.0623,8.544,10.198,11.0,12.0416,14.1421,14.1421,15.2971,14.3178,13.3417,12.3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6469,14.8661,7.6158,2.0,3.6056,8.6023,12.8062,17.2047,21.4009,23.8537,26.6271,28.3019,29.5296,29.9666,31.7805,29.7321,30.6757,27.8927,27.8927,25.4951,22.8035,19.3132,14.3178,10.0,6.3246,6.4031
