zone,left_ratio,middle_ratio,right_ratio,timestamp
LEFT,0.8845,0.0,0.4021,23:47:33
LEFT,0.8281,0.0,0.3405,23:47:33
LEFT,0.8026,0.0,0.3971,23:47:33
LEFT,0.8745,0.0,0.4172,23:47:33
LEFT,0.9233,0.0,0.5116,23:47:34
LEFT,0.8744,0.0,0.5348,23:47:34
LEFT,0.8744,0.0,0.4737,23:47:34
LEFT,0.8957,0.0,0.4737,23:47:34
LEFT,0.8957,0.0,0.484,23:47:34
LEFT,0.8766,0.0,0.484,23:47:34
LEFT,0.8638,0.0,0.6278,23:47:35
LEFT,0.8844,0.0,0.5735,23:47:35
LEFT,0.9006,0.0,0.6326,23:47:35
LEFT,0.8202,0.0,0.6268,23:47:35
LEFT,0.7384,0.0,0.5774,23:47:35
LEFT,0.5576,0.0,0.7153,23:47:36
LEFT,0.2409,0.0,0.7265,23:47:36
LEFT,0.2904,0.0,0.771,23:47:36
LEFT,0.2757,0.0,0.7259,23:47:36
LEFT,0.4889,0.0,0.6824,23:47:36
LEFT,0.5059,0.0,0.6824,23:47:37
LEFT,0.5059,0.0,0.5634,23:47:37
LEFT,0.5034,0.0,0.5634,23:47:37
LEFT,0.5034,0.0,0.6061,23:47:37
LEFT,0.4526,0.0,0.6061,23:47:37
LEFT,0.4526,0.0,0.5604,23:47:37
LEFT,0.7933,0.0,0.5604,23:47:37
LEFT,0.7933,0.0,0.4583,23:47:37
LEFT,0.7285,0.0,0.4583,23:47:37
LEFT,0.7285,0.0,0.3546,23:47:37
LEFT,0.6785,0.0,0.3546,23:47:38
LEFT,0.6785,0.0,0.3251,23:47:38
LEFT,0.6785,0.0,0.2818,23:47:38
LEFT,0.7338,0.0,0.2818,23:47:38
LEFT,0.7338,0.0,0.2716,23:47:38
LEFT,0.6939,0.0,0.2716,23:47:38
LEFT,0.6939,0.0,0.2919,23:47:38
LEFT,0.7309,0.0,0.2919,23:47:38
LEFT,0.7309,0.0,0.3162,23:47:38
LEFT,0.651,0.0,0.3162,23:47:39
LEFT,0.651,0.0,0.2987,23:47:39
LEFT,0.6288,0.0,0.3498,23:47:39
LEFT,0.2945,0.0,0.4011,23:47:39
LEFT,0.2842,0.0,0.4419,23:47:39
LEFT,0.3219,0.0,0.4374,23:47:39
LEFT,0.3272,0.0,0.4374,23:47:40
LEFT,0.3272,0.0,0.4448,23:47:40
LEFT,0.3072,0.0,0.4448,23:47:40
LEFT,0.3072,0.0,0.4384,23:47:40
LEFT,0.2623,0.0,0.4799,23:47:40
LEFT,0.5105,0.0,0.4656,23:47:40
LEFT,0.4846,0.0,0.4607,23:47:40
